N,chi_t,C,S_ent,sz_A,sz_B,F_pred,S_chsh
6,1.031881,0.15949616,1.06844772,0.00000000,0.00000000,0.71983205,2.02527926
6,1.091403,0.14610816,1.14032222,0.00000000,0.00000000,0.71536939,2.02123487
6,1.150926,0.13071791,1.21007658,0.00000000,0.00000000,0.71023930,2.01701480
6,1.210448,0.11346936,1.27743380,0.00000000,0.00000000,0.70448979,2.01283412
6,1.269970,0.09451517,1.34215146,0.00000000,0.00000000,0.69817172,2.00891326
6,1.329493,0.07401520,1.40402111,0.00000000,0.00000000,0.69133840,2.00547077
6,1.389015,0.05213502,1.46286763,0.00000000,0.00000000,0.68404501,2.00271622
6,1.448538,0.02904444,1.51854867,0.00000000,0.00000000,0.67634815,2.00084340
6,1.508060,0.00491609,1.57095389,0.00000000,0.00000000,0.66830536,2.00002417
6,1.567582,0.00000000,1.62000430,0.00000000,0.00000000,0.66666667,2.00000000
6,1.627105,0.00000000,1.66565137,0.00000000,0.00000000,0.66666667,2.00000000
6,1.686627,0.00000000,1.70787613,0.00000000,0.00000000,0.66666667,2.00000000
6,1.746150,0.00000000,1.74668808,0.00000000,0.00000000,0.66666667,2.00000000
6,1.805672,0.00000000,1.78212400,0.00000000,0.00000000,0.66666667,2.00000000
6,1.865194,0.00000000,1.81424658,-0.00000000,0.00000000,0.66666667,2.00000000
6,1.924717,0.00000000,1.84314291,0.00000000,0.00000000,0.66666667,2.00000000
6,1.984239,0.00000000,1.86892279,0.00000000,0.00000000,0.66666667,2.00000000
6,2.043762,0.00000000,1.89171688,0.00000000,0.00000000,0.66666667,2.00000000
6,2.103284,0.00000000,1.91167461,0.00000000,0.00000000,0.66666667,2.00000000
6,2.162806,0.00000000,1.92896202,0.00000000,0.00000000,0.66666667,2.00000000
6,2.222329,0.00000000,1.94375932,0.00000000,0.00000000,0.66666667,2.00000000
6,2.281851,0.00000000,1.95625833,0.00000000,0.00000000,0.66666667,2.00000000
6,2.341374,0.00000000,1.96665976,0.00000000,0.00000000,0.66666667,2.00000000
6,2.400896,0.00000000,1.97517035,-0.00000000,0.00000000,0.66666667,2.00000000
6,2.460418,0.00000000,1.98199985,0.00000000,0.00000000,0.66666667,2.00000000
6,2.519941,0.00000000,1.98735800,0.00000000,0.00000000,0.66666667,2.00000000
6,2.579463,0.00000000,1.99145137,0.00000000,0.00000000,0.66666667,2.00000000
6,2.638986,0.00000000,1.99448021,-0.00000000,0.00000000,0.66666667,2.00000000
6,2.698508,0.00000000,1.99663538,0.00000000,0.00000000,0.66666667,2.00000000
6,2.758030,0.00000000,1.99809528,0.00000000,0.00000000,0.66666667,2.00000000
6,2.817553,0.00000000,1.99902301,0.00000000,0.00000000,0.66666667,2.00000000
6,2.877075,0.00000000,1.99956366,0.00000000,0.00000000,0.66666667,2.00000000
6,2.936598,0.00000000,1.99984188,0.00000000,0.00000000,0.66666667,2.00000000
6,2.996120,0.00000000,1.99995976,0.00000000,0.00000000,0.66666667,2.00000000
6,3.055642,0.00000000,1.99999509,0.00000000,0.00000000,0.66666667,2.00000000
6,3.115165,0.00000000,1.99999996,0.00000000,0.00000000,0.66666667,2.00000000
6,3.174687,0.00000000,1.99999989,0.00000000,0.00000000,0.66666667,2.00000000
6,3.234210,0.00000000,1.99999337,0.00000000,0.00000000,0.66666667,2.00000000
6,3.293732,0.00000000,1.99995188,0.00000000,0.00000000,0.66666667,2.00000000
6,3.353254,0.00000000,1.99982037,0.00000000,0.00000000,0.66666667,2.00000000
6,3.412777,0.00000000,1.99951826,-0.00000000,0.00000000,0.66666667,2.00000000
6,3.472299,0.00000000,1.99894086,0.00000000,0.00000000,0.66666667,2.00000000
6,3.531822,0.00000000,1.99796109,0.00000000,0.00000000,0.66666667,2.00000000
6,3.591344,0.00000000,1.99643173,-0.00000000,0.00000000,0.66666667,2.00000000
6,3.650866,0.00000000,1.99418784,0.00000000,0.00000000,0.66666667,2.00000000
6,3.710389,0.00000000,1.99104946,0.00000000,0.00000000,0.66666667,2.00000000
6,3.769911,0.00000000,1.98682454,0.00000000,0.00000000,0.66666667,2.00000000
8,0.020000,0.00984835,0.00227169,0.00000000,0.00000000,0.66994945,2.00009699
8,0.079522,0.03729011,0.02644833,0.00000000,0.00000000,0.67909670,2.00139007
8,0.139045,0.06176069,0.06905707,0.00000000,0.00000000,0.68725356,2.00381075
8,0.198567,0.08307038,0.12533127,0.00000000,0.00000000,0.69435679,2.00688882
8,0.258090,0.10107217,0.19223161,0.00000000,0.00000000,0.70035739,2.01018963
8,0.317612,0.11566266,0.26745016,0.00000000,0.00000000,0.70522089,2.01333341
8,0.377134,0.12678208,0.34909552,0.00000000,0.00000000,0.70892736,2.01600962
8,0.436657,0.13441357,0.43555254,0.00000000,0.00000000,0.71147119,2.01798613
8,0.496179,0.13858172,0.52540907,0.00000000,0.00000000,0.71286057,2.01911356
8,0.555702,0.13935045,0.61741392,0.00000000,0.00000000,0.71311682,2.01932518
8,0.615224,0.13682030,0.71045122,0.00000000,0.00000000,0.71227343,2.01863300
8,0.674746,0.13112521,0.80352405,0.00000000,0.00000000,0.71037507,2.01712054
8,0.734269,0.12242892,0.89574362,0.00000000,0.00000000,0.70747631,2.01493309
8,0.793791,0.11092108,0.98632182,0.00000000,0.00000000,0.70364036,2.01226587
8,0.853314,0.09681309,1.07456582,0.00000000,0.00000000,0.69893770,2.00935092
8,0.912836,0.08033396,1.15987401,0.00000000,0.00000000,0.69344465,2.00644317
8,0.972358,0.06172603,1.24173252,-0.00000000,0.00000000,0.68724201,2.00380648
8,1.031881,0.04124089,1.31971223,0.00000000,0.00000000,0.68041363,2.00170009
8,1.091403,0.01913545,1.39346572,0.00000000,0.00000000,0.67304515,2.00036613
8,1.150926,0.00000000,1.46272414,0.00000000,0.00000000,0.66666667,2.00000000
8,1.210448,0.00000000,1.52729394,0.00000000,0.00000000,0.66666667,2.00000000
8,1.269970,0.00000000,1.58705310,-0.00000000,0.00000000,0.66666667,2.00000000
8,1.329493,0.00000000,1.64194711,0.00000000,0.00000000,0.66666667,2.00000000
8,1.389015,0.00000000,1.69198450,0.00000000,0.00000000,0.66666667,2.00000000
8,1.448538,0.00000000,1.73723188,0.00000000,0.00000000,0.66666667,2.00000000
8,1.508060,0.00000000,1.77780863,-0.00000000,0.00000000,0.66666667,2.00000000
8,1.567582,0.00000000,1.81388115,0.00000000,0.00000000,0.66666667,2.00000000
8,1.627105,0.00000000,1.84565683,0.00000000,0.00000000,0.66666667,2.00000000
8,1.686627,0.00000000,1.87337762,0.00000000,0.00000000,0.66666667,2.00000000
8,1.746150,0.00000000,1.89731352,0.00000000,0.00000000,0.66666667,2.00000000
8,1.805672,0.00000000,1.91775588,0.00000000,0.00000000,0.66666667,2.00000000
8,1.865194,0.00000000,1.93501071,0.00000000,0.00000000,0.66666667,2.00000000
8,1.924717,0.00000000,1.94939208,-0.00000000,0.00000000,0.66666667,2.00000000
8,1.984239,0.00000000,1.96121579,0.00000000,0.00000000,0.66666667,2.00000000
8,2.043762,0.00000000,1.97079340,0.00000000,0.00000000,0.66666667,2.00000000
8,2.103284,0.00000000,1.97842669,0.00000000,0.00000000,0.66666667,2.00000000
8,2.162806,0.00000000,1.98440281,0.00000000,0.00000000,0.66666667,2.00000000
8,2.222329,0.00000000,1.98899008,-0.00000000,0.00000000,0.66666667,2.00000000
8,2.281851,0.00000000,1.99243466,-0.00000000,0.00000000,0.66666667,2.00000000
8,2.341374,0.00000000,1.99495802,0.00000000,0.00000000,0.66666667,2.00000000
8,2.400896,0.00000000,1.99675542,0.00000000,0.00000000,0.66666667,2.00000000
8,2.460418,0.00000000,1.99799520,0.00000000,0.00000000,0.66666667,2.00000000
8,2.519941,0.00000000,1.99881902,0.00000000,0.00000000,0.66666667,2.00000000
8,2.579463,0.00000000,1.99934288,0.00000000,0.00000000,0.66666667,2.00000000
8,2.638986,0.00000000,1.99965889,0.00000000,0.00000000,0.66666667,2.00000000
8,2.698508,0.00000000,1.99983761,0.00000000,0.00000000,0.66666667,2.00000000
8,2.758030,0.00000000,1.99993081,0.00000000,0.00000000,0.66666667,2.00000000
8,2.817553,0.00000000,1.99997458,0.00000000,0.00000000,0.66666667,2.00000000
8,2.877075,0.00000000,1.99999241,-0.00000000,0.00000000,0.66666667,2.00000000
8,2.936598,0.00000000,1.99999834,0.00000000,0.00000000,0.66666667,2.00000000
8,2.996120,0.00000000,1.99999979,0.00000000,0.00000000,0.66666667,2.00000000
8,3.055642,0.00000000,1.99999999,0.00000000,0.00000000,0.66666667,2.00000000
8,3.115165,0.00000000,2.00000000,0.00000000,0.00000000,0.66666667,2.00000000
